"Notes"	"2013 CBSA"	"2013 CBSA Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	Crude Rate Standard Error
	"Lancaster, PA"	"29540"	5121	538500	951.0	924.9	977.0	13.3
	"Lansing-East Lansing, MI"	"29620"	3646	475099	767.4	742.5	792.3	12.7
	"Laredo, TX"	"29700"	1397	271193	515.1	488.1	542.1	13.8
	"Las Vegas-Henderson-Paradise, NV"	"29820"	16079	2155664	745.9	734.4	757.4	5.9
	"Lexington-Fayette, KY"	"30460"	4201	506751	829.0	803.9	854.1	12.8
	"Lincoln, NE"	"30700"	2347	326921	717.9	688.9	747.0	14.8
	"Little Rock-North Little Rock-Conway, AR"	"30780"	6796	734622	925.1	903.1	947.1	11.2
	"Los Angeles-Long Beach-Anaheim, CA"	"31080"	82773	13310447	621.9	617.6	626.1	2.2
	"Louisville/Jefferson County, KY-IN"	"31140"	13157	1283430	1025.1	1007.6	1042.7	8.9
	"Lubbock, TX"	"31180"	2566	314840	815.0	783.5	846.6	16.1
	"Lynchburg, VA"	"31340"	2671	260232	1026.4	987.5	1065.3	19.9
	"Madison, WI"	"31540"	4343	648929	669.3	649.4	689.2	10.2
	"Manchester-Nashua, NH"	"31700"	3388	407761	830.9	802.9	858.9	14.3
	"McAllen-Edinburg-Mission, TX"	"32580"	4341	849843	510.8	495.6	526.0	7.8
	"Memphis, TN-MS-AR"	"32820"	12006	1342842	894.1	878.1	910.1	8.2
	"Merced, CA"	"32900"	1850	268672	688.6	657.2	719.9	16.0
	"Miami-Fort Lauderdale-West Palm Beach, FL"	"33100"	50215	6066387	827.8	820.5	835.0	3.7
	"Milwaukee-Waukesha-West Allis, WI"	"33340"	13697	1572482	871.0	856.5	885.6	7.4
	"Minneapolis-St. Paul-Bloomington, MN-WI"	"33460"	23851	3551036	671.7	663.1	680.2	4.3
	"Mobile, AL"	"33660"	4411	414836	1063.3	1031.9	1094.7	16.0
	"Modesto, CA"	"33700"	4294	541560	792.9	769.2	816.6	12.1
	"Montgomery, AL"	"33860"	3617	373922	967.3	935.8	998.8	16.1
	"Myrtle Beach-Conway-North Myrtle Beach, SC-NC"	"34820"	4898	449295	1090.2	1059.6	1120.7	15.6
	"Naples-Immokalee-Marco Island, FL"	"34940"	3273	365136	896.4	865.7	927.1	15.7
	"Nashville-Davidson--Murfreesboro--Franklin, TN"	"34980"	14990	1865298	803.6	790.8	816.5	6.6
	"New Haven-Milford, CT"	"35300"	7745	856875	903.9	883.7	924.0	10.3
	"New Orleans-Metairie, LA"	"35380"	11176	1268883	880.8	864.4	897.1	8.3
	"New York-Newark-Jersey City, NY-NJ-PA"	"35620"	144452	20153634	716.8	713.1	720.5	1.9
	"North Port-Sarasota-Bradenton, FL"	"35840"	9744	788457	1235.8	1211.3	1260.4	12.5
	"Norwich-New London, CT"	"35980"	2462	269801	912.5	876.5	948.6	18.4
	"Ocala, FL"	"36100"	5097	349020	1460.4	1420.3	1500.5	20.5
	"Ogden-Clearfield, UT"	"36260"	4047	654417	618.4	599.4	637.5	9.7
	"Oklahoma City, OK"	"36420"	11617	1373211	846.0	830.6	861.4	7.8
	"Olympia-Tumwater, WA"	"36500"	2151	275222	781.6	748.5	814.6	16.9
	"Omaha-Council Bluffs, NE-IA"	"36540"	6765	924129	732.0	714.6	749.5	8.9
	"Orlando-Kissimmee-Sanford, FL"	"36740"	17672	2441257	723.9	713.2	734.6	5.4
	"Oxnard-Thousand Oaks-Ventura, CA"	"37100"	5563	849738	654.7	637.5	671.9	8.8
	"Palm Bay-Melbourne-Titusville, FL"	"37340"	7315	579130	1263.1	1234.2	1292.0	14.8
	"Pensacola-Ferry Pass-Brent, FL"	"37860"	4748	485684	977.6	949.8	1005.4	14.2
	"Peoria, IL"	"37900"	3825	376246	1016.6	984.4	1048.8	16.4
	"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"	"37980"	55501	6070500	914.3	906.7	921.9	3.9
	"Phoenix-Mesa-Scottsdale, AZ"	"38060"	33771	4661537	724.5	716.7	732.2	3.9
	"Pittsburgh, PA"	"38300"	27888	2342299	1190.6	1176.7	1204.6	7.1
	"Portland-South Portland, ME"	"38860"	5017	529657	947.2	921.0	973.4	13.4
	"Portland-Vancouver-Hillsboro, OR-WA"	"38900"	17489	2424955	721.2	710.5	731.9	5.5
	"Port St. Lucie, FL"	"38940"	5216	465208	1121.2	1090.8	1151.6	15.5
	"Providence-Warwick, RI-MA"	"39300"	15055	1614750	932.3	917.4	947.2	7.6
	"Provo-Orem, UT"	"39340"	2550	603309	422.7	406.3	439.1	8.4
	"Raleigh, NC"	"39580"	7621	1302946	584.9	571.8	598.0	6.7
	"Reading, PA"	"39740"	4061	414812	979.0	948.9	1009.1	15.4
	"Reno, NV"	"39900"	4095	457667	894.8	867.4	922.2	14.0
	"Richmond, VA"	"40060"	10836	1281708	845.4	829.5	861.4	8.1
	"Riverside-San Bernardino-Ontario, CA"	"40140"	30336	4527837	670.0	662.4	677.5	3.8
	"Roanoke, VA"	"40220"	3541	313698	1128.8	1091.6	1166.0	19.0
	"Rochester, NY"	"40380"	9841	1078879	912.2	894.1	930.2	9.2
	"Rockford, IL"	"40420"	3300	339376	972.4	939.2	1005.5	16.9
	"Sacramento--Roseville--Arden-Arcade, CA"	"40900"	17277	2296418	752.3	741.1	763.6	5.7
	"St. Louis, MO-IL"	"41180"	26769	2807002	953.7	942.2	965.1	5.8
	"Salem, OR"	"41420"	3524	418139	842.8	815.0	870.6	14.2
	"Salinas, CA"	"41500"	2573	435232	591.2	568.3	614.0	11.7
	"Salisbury, MD-DE"	"41540"	4497	400200	1123.7	1090.8	1156.5	16.8
	"Salt Lake City, UT"	"41620"	7124	1186187	600.6	586.6	614.5	7.1
	"San Antonio-New Braunfels, TX"	"41700"	17202	2429609	708.0	697.4	718.6	5.4
	"San Diego-Carlsbad, CA"	"41740"	21420	3317749	645.6	637.0	654.3	4.4
	"San Francisco-Oakland-Hayward, CA"	"41860"	30088	4679166	643.0	635.8	650.3	3.7
	"San Jose-Sunnyvale-Santa Clara, CA"	"41940"	10460	1978816	528.6	518.5	538.7	5.2
	"San Luis Obispo-Paso Robles-Arroyo Grande, CA"	"42020"	2411	282887	852.3	818.3	886.3	17.4
	"Santa Cruz-Watsonville, CA"	"42100"	1744	274673	634.9	605.1	664.7	15.2
	"Santa Maria-Santa Barbara, CA"	"42200"	3156	446170	707.4	682.7	732.0	12.6
	"Santa Rosa, CA"	"42220"	4156	503070	826.1	801.0	851.2	12.8
	"Savannah, GA"	"42340"	3211	384024	836.1	807.2	865.1	14.8
	"Scranton--Wilkes-Barre--Hazleton, PA"	"42540"	6858	555225	1235.2	1205.9	1264.4	14.9
	"Seattle-Tacoma-Bellevue, WA"	"42660"	24976	3798902	657.5	649.3	665.6	4.2
	"Shreveport-Bossier City, LA"	"43340"	4632	441767	1048.5	1018.3	1078.7	15.4
	"South Bend-Mishawaka, IN-MI"	"43780"	3213	320740	1001.7	967.1	1036.4	17.7
	"Spartanburg, SC"	"43900"	3475	329136	1055.8	1020.7	1090.9	17.9
	"Spokane-Spokane Valley, WA"	"44060"	5123	556634	920.4	895.2	945.6	12.9
	"Springfield, MA"	"44140"	5666	630283	899.0	875.6	922.4	11.9
	"Springfield, MO"	"44180"	4334	458930	944.4	916.3	972.5	14.3
	"Stockton-Lodi, CA"	"44700"	5494	733709	748.8	729.0	768.6	10.1
	"Syracuse, NY"	"45060"	6134	656510	934.3	911.0	957.7	11.9
	"Tallahassee, FL"	"45220"	2761	379627	727.3	700.2	754.4	13.8
	"Tampa-St. Petersburg-Clearwater, FL"	"45300"	31247	3032171	1030.5	1019.1	1041.9	5.8
	"Toledo, OH"	"45780"	6183	605221	1021.6	996.1	1047.1	13.0
	"Trenton, NJ"	"45940"	2925	371023	788.4	759.8	816.9	14.6
	"Tucson, AZ"	"46060"	9508	1016206	935.6	916.8	954.4	9.6
	"Tulsa, OK"	"46140"	9346	987201	946.7	927.5	965.9	9.8
	"Urban Honolulu, HI"	"46520"	7577	992605	763.3	746.2	780.5	8.8
	"Utica-Rome, NY"	"46540"	3175	293803	1080.7	1043.1	1118.2	19.2
	"Vallejo-Fairfield, CA"	"46700"	3271	440207	743.1	717.6	768.5	13.0
	"Virginia Beach-Norfolk-Newport News, VA-NC"	"47260"	14100	1726907	816.5	803.0	830.0	6.9
	"Visalia-Porterville, CA"	"47300"	3023	460437	656.6	633.1	680.0	11.9
	"Waco, TX"	"47380"	2226	265207	839.3	804.5	874.2	17.8
	"Washington-Arlington-Alexandria, DC-VA-MD-WV"	"47900"	35296	6131977	575.6	569.6	581.6	3.1
	"Wichita, KS"	"48620"	5949	644672	922.8	899.3	946.2	12.0
	"Wilmington, NC"	"48900"	2612	282573	924.4	888.9	959.8	18.1
	"Winston-Salem, NC"	"49180"	6538	662079	987.5	963.6	1011.4	12.2
	"Worcester, MA-CT"	"49340"	8133	935781	869.1	850.2	888.0	9.6
	"York-Hanover, PA"	"49620"	4190	443744	944.2	915.6	972.8	14.6
	"Youngstown-Warren-Boardman, OH-PA"	"49660"	7065	544746	1296.9	1266.7	1327.2	15.4
	"small metro"	"99400"	283500	29464705	962.2	958.6	965.7	1.8
	"micropolitan"	"99500"	290565	27257909	1066.0	1062.1	1069.9	2.0
	"noncore"	"99600"	226412	18852675	1201.0	1196.0	1205.9	2.5
"Total"			2744248	323127513	849.3	848.3	850.3	0.5
"---"
"Dataset: Compressed Mortality, 1999-2016"
"Query Parameters:"
"Title: 2013 CBSA Death Data"
"Year: 2016"
"Group By: 2013 CBSA"
"Show Totals: True"
"Show Zero Values: False"
"Show Suppressed: False"
"Calculate Rates Per: 100,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/cmf.html for more information."
"---"
"Query Date: Sep 29, 2020 4:11:15 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. Compressed Mortality File"
"1999-2016 on CDC WONDER Online Database, released June 2017. Data are from the Compressed Mortality File 1999-2016 Series 20 No."
"2U, 2016, as compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative"
"Program. Accessed at http://wonder.cdc.gov/cmf-icd10.html on Sep 29, 2020 4:11:15 PM"
"---"
Caveats:
"1. About national population figures: population figures for 1999 are from the 1990-1999 series of bridged-race intercensal"
"estimates of the July 1 resident population; population figures for 2000 and 2010 are bridged-race April 1 census counts;"
"population figures for 2001-2009 are from the revised 2000-2009 series of bridged-race intercensal estimates of the July 1"
"resident population; population figures for 2011 are bridged-race postcensal estimates of the July 1 resident population, from"
"the Vintage 2011 series released by NCHS on July 18, 2012; population figures for 2012 are bridged-race postcensal estimates of"
"the July 1 resident population, from the Vintage 2012 series released by NCHS on June 13, 2013; population figures for 2013 are"
"bridged-race postcensal estimates of the July 1 resident population, from the Vintage 2013 series released by NCHS on June 26,"
"2014; population figures for 2014 are bridged-race postcensal estimates of the July 1 resident population, from the Vintage 2014"
"series released by NCHS on June 30, 2015. and population figures for 2015 are bridged-race postcensal estimates of the July 1"
"resident population, from the Vintage 2015 series released by NCHS on June 28, 2016. More information:"
"http://wonder.cdc.gov/wonder/help/cmf.html#Population Information."
"2. The population figures used in the calculation of death rates for the age group 'under 1 year' are the estimates of the"
"resident population that is under one year of age. More information: http://wonder.cdc.gov/wonder/help/cmf.html#Age Group."
"3. The method used to calculate 95% confidence intervals is documented here: More information:"
"http://wonder.cdc.gov/wonder/help/cmf.html#Confidence-Intervals."
"4. The method used to calculate standard errors is documented here: More information:"
"http://wonder.cdc.gov/wonder/help/cmf.html#Standard-Errors."
"5. 2013 CBSA shows data for core based statistical areas (CBSAs) of 250,000 or more population delineated in the June 2013 OMB"
"classification of counties as metropolitan or nonmetropolitan (micropolitan or noncore)."
